Species ,Sample Code,Plot No.,Sample No.,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Standard Petal Area (SSA)(cm2/g),Specific Wing 1 Petal Area (SW1A)(cm2/g),Specific Wing 2 Petal Area (SW2A)(cm2/g),Specific Keel Petal Area (SKA)(cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Average Ray Floret Area (ARA)(cm2),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
Lotus,49.1-4,49,1,C0T0D1,0,0,1,1.8276525,535.3352179,742.7442557,634.7638552,302.4962976,0.001906682,0.001356108,0.001594513,0.003343849,528.7470562,0.001910839,0.166044646,184.6277979,0.234402662,,,
Lotus,50.1-2,50,1,C2T2D1,2,2,1,1.756605,625.2147535,938.9587182,953.4959074,400.2452648,0.001616878,0.001219475,0.001251896,0.002594299,670.3681034,0.001575922,0.15218554,143.5627907,0.262729124,,,
Lotus,50.2-2,50,2,C2T2D1,2,2,1,1.795175,637.6896082,834.718905,837.3118859,350.0201106,0.001576372,0.00122172,0.001201251,0.002912627,625.1898191,0.001615609,0.148272727,212.6542553,0.218604651,,,
Lotus,51.1-2,51,1,C0T2D0,0,2,0,1.636725,714.1883766,993.7487936,980.3184681,350.6853373,0.001400506,0.001022428,0.001040387,0.002968842,703.8979933,0.001435414,0.154016183,256.6842105,0.169139466,,,
Lotus,51.2-2,51,2,C0T2D0,0,2,0,1.22324,590.2841402,880.4959726,921.2396859,354.3052975,0.001770495,0.001194766,0.001120639,0.003009352,633.0306252,0.001643964,0.162040404,187.0109589,0.17116061,,,
Lotus,53.1-4,53,1,C0T0D0,0,0,0,1.75611,598.4478836,898.381096,923.2648357,369.1426442,0.001673873,0.001120892,0.001086137,0.002785986,642.453457,0.001565782,0.158765575,263.3078947,0.176424482,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
